"Node1","Node2"
1,2
1,3
1,4
1,5
1,6
1,8
1,10
1,11
1,12
2,3
2,4
2,5
2,6
2,7
2,8
2,10
2,11
2,12
2,14
2,37
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,22
3,32
3,35
3,36
3,37
4,5
4,6
4,7
4,8
4,9
4,10
4,12
4,14
4,15
4,16
4,22
4,32
4,33
4,37
4,42
4,43
4,44
4,48
4,49
5,6
5,8
5,10
5,11
5,12
5,15
5,16
5,32
5,37
5,43
5,44
5,48
5,49
6,7
6,10
6,13
6,14
6,15
6,16
6,30
6,31
6,33
6,34
6,35
6,36
6,37
6,38
6,45
6,46
6,48
6,49
7,8
7,9
7,14
7,15
7,22
7,33
7,37
7,42
7,43
7,44
7,46
7,48
7,49
8,9
8,11
8,12
8,15
8,22
9,11
9,15
9,22
9,43
9,44
10,11
10,12
10,14
10,15
10,16
10,22
10,35
10,37
10,46
10,48
10,49
11,12
11,14
11,16
11,22
11,35
11,37
11,48
11,49
12,13
12,14
12,15
12,16
12,20
12,22
12,32
12,33
12,35
12,42
12,43
12,44
12,46
12,47
12,48
12,49
12,50
12,51
12,52
13,14
13,15
13,16
13,20
13,22
13,32
13,33
13,35
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,49
13,50
13,51
13,52
14,16
14,22
14,30
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,41
14,42
14,43
14,44
14,45
14,46
14,47
14,48
15,16
15,18
15,19
15,22
15,24
15,25
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,38
15,39
15,42
15,43
15,44
15,46
15,48
15,49
16,22
16,41
16,42
16,43
16,44
16,45
16,46
16,48
16,49
17,18
17,19
17,20
17,21
17,22
17,23
17,41
17,43
17,44
17,48
17,49
18,19
18,20
18,21
18,22
18,23
18,42
18,43
18,44
18,48
18,49
19,20
19,21
19,22
19,49
20,21
20,22
20,23
20,46
20,47
20,48
21,22
21,23
21,46
21,49
22,23
22,32
22,33
22,41
22,42
22,43
22,44
22,45
22,46
22,48
22,49
23,41
23,42
23,43
23,44
23,48
23,49
24,25
24,26
24,27
24,28
24,30
24,31
24,32
24,34
24,35
24,38
24,39
24,48
24,49
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,34
25,35
25,36
25,37
25,38
25,39
25,48
25,49
26,27
26,28
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,38
26,39
26,48
26,49
27,28
27,30
27,31
27,32
27,33
27,34
27,35
27,37
27,38
27,39
27,43
27,44
27,48
27,49
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,38
28,43
28,44
28,48
28,49
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,38
29,39
29,42
29,43
29,44
29,45
29,46
29,48
29,49
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
30,44
30,45
30,46
31,32
31,34
31,35
31,36
31,37
31,38
31,39
31,44
31,45
31,46
31,48
31,49
31,52
32,33
32,35
32,36
32,37
32,38
32,39
32,40
32,41
32,42
32,44
32,45
32,46
33,34
33,35
33,36
33,37
33,39
33,40
33,41
33,42
33,43
33,44
33,45
33,46
33,48
33,49
33,52
34,35
34,36
34,38
34,39
34,43
34,44
34,45
34,46
35,36
35,37
35,38
35,39
35,42
35,43
35,44
35,45
35,46
36,37
36,38
36,39
36,43
36,44
36,45
36,46
36,48
36,49
37,38
37,39
37,42
37,43
37,44
37,45
37,46
38,39
38,43
38,44
38,45
38,46
39,43
39,44
39,45
39,46
40,41
40,42
40,43
40,45
40,46
40,48
40,49
40,50
40,51
40,52
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,52
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,51
43,45
43,46
43,48
43,49
43,51
43,52
44,45
44,46
44,48
44,49
44,51
44,52
45,46
45,47
45,48
45,49
45,50
45,51
45,52
46,47
46,48
46,49
46,50
46,51
46,52
47,48
47,49
47,51
47,52
48,49
48,50
48,51
48,52
49,50
49,52
50,51
50,52
51,52
