"Node1","Node2"
1,96
1,99
1,100
1,195
1,250
1,270
1,323
1,352
1,468
1,488
1,501
1,519
1,575
1,606
1,655
1,773
1,778
1,762
1,704
2,39
2,327
2,370
2,392
2,513
2,399
3,131
3,336
3,479
3,635
3,654
3,684
3,773
4,21
4,45
4,84
4,96
4,159
4,170
4,204
4,213
4,226
4,339
4,340
4,395
4,462
4,497
4,646
4,693
4,773
4,709
5,15
5,48
5,54
5,93
5,130
5,135
5,165
5,174
5,208
5,253
5,326
5,354
5,361
5,368
5,402
5,444
5,469
5,480
5,486
5,500
5,540
5,589
5,632
5,639
5,672
5,704
5,744
5,785
5,791
5,703
6,19
6,38
6,48
6,50
6,68
6,209
6,243
6,244
6,256
6,373
6,382
6,383
6,384
6,392
6,410
6,422
6,444
6,459
6,463
6,501
6,529
6,553
6,657
6,691
6,693
6,759
7,24
7,104
7,128
7,164
7,306
7,324
7,386
7,401
7,402
7,440
7,455
7,464
7,545
7,574
7,590
7,616
7,709
7,791
8,192
8,216
8,500
8,511
8,588
8,748
9,152
9,172
9,289
9,398
9,567
9,576
10,617
10,623
11,155
11,213
11,302
11,354
11,500
11,556
11,646
11,789
12,14
12,39
12,171
12,223
12,369
12,473
12,687
12,783
12,799
13,14
13,22
13,128
13,134
13,204
13,231
13,255
13,298
13,300
13,340
13,357
13,381
13,432
13,464
13,469
13,612
13,712
13,715
13,778
13,703
13,726
14,15
14,26
14,44
14,48
14,50
14,70
14,76
14,89
14,93
14,101
14,107
14,130
14,137
14,164
14,174
14,180
14,206
14,223
14,226
14,241
14,245
14,249
14,250
14,254
14,255
14,256
14,258
14,285
14,293
14,299
14,306
14,324
14,327
14,339
14,373
14,378
14,382
14,392
14,410
14,422
14,436
14,444
14,450
14,453
14,459
14,462
14,463
14,467
14,469
14,476
14,480
14,497
14,503
14,508
14,519
14,537
14,554
14,559
14,564
14,568
14,586
14,623
14,629
14,634
14,672
14,687
14,691
14,693
14,773
14,776
14,791
14,749
14,758
14,782
14,797
14,666
15,26
15,27
15,52
15,54
15,70
15,89
15,93
15,101
15,130
15,165
15,174
15,180
15,183
15,192
15,205
15,208
15,221
15,236
15,253
15,257
15,258
15,285
15,293
15,326
15,330
15,349
15,354
15,361
15,362
15,368
15,388
15,391
15,396
15,402
15,451
15,480
15,483
15,484
15,486
15,500
15,508
15,522
15,528
15,537
15,540
15,544
15,559
15,564
15,565
15,639
15,641
15,672
15,740
15,704
15,744
15,785
15,791
15,703
15,726
15,746
16,31
16,277
16,307
16,534
16,548
16,623
16,628
17,48
