"Node1","Node2"
1,2
1,3
1,4
1,5
1,6
1,11
1,12
1,13
1,14
1,16
1,17
1,18
1,21
1,25
1,26
1,27
1,29
1,30
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,47
1,48
1,49
1,50
1,51
1,52
1,54
1,55
1,56
1,57
1,59
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,69
1,70
1,71
1,72
1,73
1,74
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,100
1,101
1,102
1,104
1,107
1,108
1,109
1,110
1,112
1,114
1,115
1,116
1,117
1,118
1,121
1,123
1,124
1,125
1,126
1,131
1,132
1,135
1,136
1,137
1,139
1,140
1,144
1,111
1,119
1,129
1,145
2,3
2,5
2,6
2,8
2,14
2,16
2,17
2,20
2,21
2,24
2,25
2,26
2,27
2,30
2,32
2,33
2,34
2,35
2,37
2,38
2,40
2,42
2,43
2,45
2,47
2,48
2,49
2,51
2,52
2,53
2,55
2,58
2,59
2,60
2,61
2,63
2,64
2,67
2,68
2,70
2,72
2,74
2,75
2,76
2,77
2,78
2,80
2,81
2,82
2,83
2,84
2,86
2,87
2,88
2,89
2,91
2,95
2,97
2,100
2,106
2,107
2,108
2,109
2,114
2,117
2,121
2,122
2,123
2,124
2,125
2,126
2,131
2,135
2,136
2,139
2,140
2,144
2,111
2,145
2,127
3,5
3,8
3,11
3,12
3,16
3,17
3,21
3,25
3,26
3,28
3,29
3,33
3,34
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,46
3,47
3,48
3,50
3,51
3,52
3,56
3,57
3,62
3,63
3,64
3,65
3,66
3,67
3,69
3,70
3,71
3,73
3,74
3,76
3,77
3,78
3,80
3,81
3,82
3,83
3,84
3,85
3,86
3,90
3,91
3,93
3,94
3,95
3,96
3,100
3,102
3,104
3,106
3,107
3,108
3,109
3,110
3,112
3,113
3,114
3,117
3,121
3,122
3,123
3,124
3,125
3,126
3,131
3,132
3,135
3,136
3,137
3,138
3,139
3,140
3,144
3,145
3,141
3,143
4,14
4,17
4,34
4,36
4,43
4,44
4,53
4,78
4,80
4,86
4,88
4,98
4,108
4,145
5,10
5,34
5,43
5,64
5,134
6,8
6,17
6,43
6,60
6,69
6,89
6,98
6,108
6,125
6,136
6,145
7,30
7,37
7,45
7,50
7,55
7,76
7,77
7,80
7,86
7,91
7,104
7,108
7,110
7,117
7,136
7,145
8,11
8,17
8,18
8,20
8,21
8,23
8,25
8,31
8,33
8,34
8,35
8,36
8,37
8,40
8,42
8,43
8,44
8,48
8,54
8,58
8,65
8,66
8,70
8,71
8,72
8,75
8,76
8,80
8,81
8,82
8,83
8,84
8,86
8,89
8,91
8,95
8,96
8,99
8,102
8,106
8,108
8,109
8,110
8,112
8,117
8,121
8,122
8,123
8,126
8,130
8,136
8,138
8,139
8,140
8,144
8,145
8,127
8,141
9,17
9,33
9,34
9,35
9,37
9,62
9,70
9,77
9,83
9,91
9,108
9,114
9,117
9,122
10,33
10,45
10,54
10,74
10,91
10,98
10,108
11,17
11,23
11,30
11,33
11,37
11,49
11,69
11,70
11,80
11,83
11,84
11,86
11,87
11,91
11,95
11,99
11,110
11,145
12,21
12,32
12,33
12,35
12,36
12,37
12,40
12,43
12,51
12,55
12,61
12,65
12,81
12,86
12,104
12,108
12,121
12,123
