"Node1","Node2"
1,631
1,733
2,383
2,696
3,83
3,606
4,567
4,762
5,24
5,27
5,80
5,216
5,500
5,591
5,446
5,913
5,1082
6,885
6,1094
7,97
7,442
8,348
8,353
8,535
8,633
9,551
9,781
10,81
10,295
10,460
10,853
10,676
10,883
10,942
10,1033
11,451
11,870
12,807
12,676
13,599
13,654
13,774
13,623
14,614
14,994
14,1009
14,1045
15,380
15,921
16,601
16,954
17,723
17,774
17,1009
17,1045
18,375
18,1025
19,576
19,596
19,916
19,1019
19,1008
19,1074
19,1096
20,122
20,176
21,22
21,914
22,303
23,94
23,845
23,903
23,906
24,153
24,206
24,288
24,438
24,457
24,478
24,685
24,697
24,969
24,976
24,913
24,991
25,595
25,814
25,1076
26,86
26,401
26,477
26,897
26,586
27,702
28,379
28,969
29,277
29,290
29,332
29,486
29,838
30,65
30,172
30,592
31,171
31,342
32,116
32,172
32,283
32,354
33,276
33,384
33,662
33,718
33,749
33,806
34,165
34,794
35,420
35,574
35,1097
36,402
36,492
36,1062
37,280
37,853
38,172
38,685
39,141
39,287
39,323
39,924
39,625
40,138
40,198
40,202
40,236
40,327
40,414
40,385
40,616
40,820
40,974
41,973
41,1061
42,94
42,879
42,939
43,324
43,383
43,551
43,576
43,328
44,103
44,507
44,760
44,1032
44,1084
45,758
45,842
45,1066
45,1021
46,213
46,676
47,650
47,900
48,457
48,473
49,174
49,831
50,463
50,567
51,802
51,563
52,350
52,968
53,561
53,586
53,502
53,741
54,308
54,618
55,374
55,376
55,923
55,1006
56,126
56,601
56,968
56,1061
57,86
57,417
57,484
57,761
57,1067
57,635
58,429
58,660
58,977
58,978
59,493
59,692
60,938
61,86
61,484
61,541
61,897
61,1086
62,66
62,907
63,549
63,804
63,205
64,139
64,203
65,592
66,144
66,242
66,737
66,785
67,378
67,521
67,576
67,656
67,855
67,967
67,564
67,1056
68,530
68,574
68,638
69,223
69,567
69,893
69,980
70,243
70,244
70,350
70,480
70,592
70,603
70,711
70,968
70,995
70,996
70,1095
71,295
71,967
72,100
72,1096
73,1018
73,494
74,151
74,152
74,665
74,727
75,80
75,446
76,274
76,1069
77,304
77,437
78,358
78,808
78,991
79,80
79,89
79,123
79,219
79,356
79,392
79,473
79,654
79,389
80,92
80,392
80,473
80,601
80,913
80,578
80,1071
81,279
81,853
82,879
82,980
83,168
83,262
83,614
84,489
84,915
85,270
85,706
86,484
86,541
86,719
86,776
86,851
87,242
87,306
87,453
87,799
87,803
87,1065
88,115
88,677
89,473
90,304
90,437
90,992
91,659
91,752
92,114
92,457
93,741
93,734
93,757
94,372
94,418
94,567
94,802
94,831
94,845
94,880
94,939
94,980
94,1037
95,99
95,783
95,815
95,865
96,797
96,957
97,468
97,567
97,631
97,636
97,844
98,475
98,759
99,296
99,333
99,438
99,475
99,597
99,697
99,815
99,831
99,895
99,908
99,1062
99,865
99,709
99,819
99,951
100,575
101,487
101,713
101,899
102,267
102,899
103,538
104,289
104,726
105,180
105,299
105,899
105,987
106,792
106,1077
107,744
107,969
108,764
108,858
109,145
109,185
109,421
109,567
109,841
109,857
109,328
109,498
109,721
109,810
110,452
110,712
110,650
111,192
111,899
112,221
112,746
112,955
112,1062
112,903
112,1021
112,998
112,1064
113,308
113,366
114,376
115,294
115,395
115,594
115,601
115,677
115,965
115,447
115,945
116,283
116,431
116,490
116,496
116,685
117,405
117,747
118,404
118,468
118,510
119,953
119,989
120,349
120,745
121,783
121,969
122,581
123,219
123,511
123,712
123,587
123,892
124,341
124,670
125,208
125,362
125,802
125,815
126,601
126,968
126,1061
127,254
127,685
128,360
128,525
129,383
129,841
129,857
129,840
130,167
130,653
131,542
131,1027
131,640
131,1060
132,186
132,288
132,657
133,163
133,718
134,364
134,792
135,178
135,258
135,304
135,742
135,802
135,1027
135,1038
136,288
136,292
136,838
137,350
137,457
138,414
138,831
138,833
138,820
138,835
138,839
139,745
140,490
140,969
141,286
141,924
142,459
142,510
142,783
142,825
142,986
143,1062
144,1044
145,359
145,841
146,231
146,1081
147,544
147,908
148,398
148,432
149,302
149,755
