"Node1","Node2"
1,2
1,114
1,208
2,30
2,57
2,172
3,4
3,88
4,5
4,6
4,88
5,61
5,63
5,73
5,88
5,92
5,132
5,136
5,169
6,60
6,76
6,81
6,88
6,137
7,8
7,88
7,191
7,195
8,116
8,131
9,10
9,30
9,76
9,135
9,138
10,11
10,46
10,88
10,132
11,99
11,111
11,148
11,159
12,13
12,14
12,149
12,177
13,14
13,149
14,122
14,149
15,16
15,20
15,70
15,199
16,28
16,75
16,178
17,79
17,112
17,121
17,131
17,150
17,18
19,56
19,57
19,58
19,59
19,114
19,18
20,72
20,102
20,142
20,18
21,119
21,199
21,18
22,144
22,172
22,18
23,35
23,36
23,61
23,88
23,116
23,117
23,118
23,172
23,18
24,69
24,81
24,157
24,182
24,18
25,68
25,114
25,124
25,18
26,73
26,81
26,82
26,97
26,130
26,132
26,18
27,70
27,98
27,18
28,18
29,36
29,50
29,80
29,81
29,82
29,176
29,18
30,31
30,55
30,64
30,88
30,132
30,133
30,135
30,143
30,161
30,200
30,203
30,217
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,39
31,40
31,41
31,42
31,43
31,119
32,40
32,73
33,63
33,144
33,214
34,56
34,113
34,137
34,144
34,185
35,88
35,91
36,55
37,86
37,87
37,88
37,132
39,86
39,88
40,43
40,148
40,218
41,112
43,83
43,116
44,45
44,57
44,170
44,172
44,95
45,46
45,47
45,48
45,49
45,68
45,113
45,147
45,150
45,201
46,58
46,73
46,88
46,150
46,170
46,193
47,112
48,113
48,144
49,88
49,99
50,51
50,71
50,72
50,75
50,86
50,113
50,130
50,137
50,165
50,208
51,88
51,131
52,53
52,62
52,77
52,88
52,116
52,151
53,54
53,57
53,88
53,137
54,66
54,72
55,57
55,137
55,147
56,66
56,137
57,61
57,63
57,67
57,69
57,78
57,79
57,81
57,83
57,88
57,91
57,93
57,97
57,104
57,106
57,114
57,125
57,127
57,129
57,130
57,133
57,140
57,153
57,154
57,170
57,171
57,189
57,190
57,191
57,200
57,201
57,205
57,206
58,72
58,131
59,106
60,61
60,143
61,193
62,88
64,65
64,77
65,193
66,181
67,68
68,152
68,109
69,70
69,137
69,150
70,71
70,81
70,97
71,110
71,114
71,129
72,88
72,102
72,103
72,132
72,164
72,195
73,74
73,88
73,132
74,88
74,180
74,215
74,221
75,77
75,88
75,169
76,88
76,98
76,111
77,78
77,114
78,83
78,88
79,88
79,215
80,147
81,88
82,88
82,132
82,136
82,137
82,138
82,139
82,140
83,208
84,85
84,88
85,88
85,207
86,88
86,154
87,88
87,93
87,144
87,165
88,99
88,102
88,104
88,106
88,108
88,110
88,112
88,114
88,118
88,119
88,125
88,126
88,129
88,137
88,138
88,139
88,140
88,146
88,148
88,149
88,150
88,159
88,160
88,163
88,169
88,170
88,171
88,172
88,173
88,174
88,175
88,176
88,177
88,178
88,179
88,180
88,181
88,182
88,183
88,184
88,185
88,186
88,187
88,188
88,189
88,190
88,191
88,192
89,90
89,100
90,150
90,208
90,123
91,114
91,194
92,155
93,150
94,100
94,95
96,117
96,132
96,145
96,150
96,157
96,158
96,208
96,95
97,181
97,95
97,221
99,132
100,101
100,120
100,124
101,144
102,103
102,104
102,105
105,150
106,107
107,108
107,159
108,148
108,194
108,203
108,211
110,150
111,215
112,132
112,146
113,114
114,115
115,127
115,152
116,153
116,162
116,194
116,141
117,195
118,134
119,169
120,121
120,132
120,180
122,123
124,172
124,217
124,218
124,123
125,128
125,173
125,123
126,123
127,168
127,201
127,123
128,187
128,123
130,161
131,132
131,133
131,150
132,137
132,152
132,160
132,161
132,167
132,171
132,172
132,173
132,179
132,180
132,183
132,184
132,186
132,188
132,189
132,201
132,204
132,206
132,215
132,219
133,208
134,180
135,176
136,152
137,144
137,208
137,214
138,148
142,158
142,141
143,147
143,161
143,141
144,156
144,165
144,166
144,141
145,146
145,152
146,150
146,159
147,148
147,162
147,163
147,164
147,169
148,214
149,177
150,151
150,152
150,153
150,154
150,155
150,156
150,210
151,215
152,215
155,174
155,210
157,208
159,160
159,161
160,164
162,198
162,202
163,199
166,188
166,210
167,168
167,209
168,176
168,207
170,198
170,199
172,200
172,201
174,192
175,196
176,192
178,205
179,195
179,211
190,210
193,221
195,197
195,207
199,215
203,204
205,216
207,221
208,209
214,215
