"Name","NetworkDomain","Nodes","Edges","Iterations"
"7th_graders","Social,Offline",29,250,"67"
"add_health_comm1","Social,Offline",69,220,"192"
"add_health_comm10","Social,Offline",678,2795,"3420"
"add_health_comm11","Social,Offline",411,1590,"1382"
"add_health_comm12","Social,Offline",581,2805,"1661"
"add_health_comm13","Social,Offline",652,2350,"2830"
"add_health_comm14","Social,Offline",562,2688,"2508"
"add_health_comm15","Social,Offline",1062,4391,"5489"
"add_health_comm16","Social,Offline",778,3462,"2805"
"add_health_comm17","Social,Offline",1218,5337,"4493"
"add_health_comm18","Social,Offline",284,1189,"1230"
"add_health_comm19","Social,Offline",492,2096,"4012"
"add_health_comm2","Social,Offline",103,348,"1515"
"add_health_comm20","Social,Offline",910,4075,"4743"
"add_health_comm21","Social,Offline",377,1531,"1153"
"add_health_comm22","Social,Offline",612,2449,"2078"
"add_health_comm23","Social,Offline",667,2897,"2867"
"add_health_comm24","Social,Offline",849,3003,"3869"
"add_health_comm25","Social,Offline",790,2567,"2531"
"add_health_comm26","Social,Offline",551,2066,"14033"
"add_health_comm27","Social,Offline",1152,2530,"6226"
"add_health_comm28","Social,Offline",1136,4715,"9944"
"add_health_comm29","Social,Offline",569,2534,"1730"
"add_health_comm3","Social,Offline",32,91,"44"
"add_health_comm30","Social,Offline",718,2740,"2692"
"add_health_comm31","Social,Offline",728,1635,"4652"
"add_health_comm32","Social,Offline",853,3440,"3440"
"add_health_comm33","Social,Offline",1974,4833,"8844"
"add_health_comm34","Social,Offline",1605,5748,"5249"
"add_health_comm35","Social,Offline",851,3151,"6229"
"add_health_comm36","Social,Offline",2152,7986,"7138"
"add_health_comm37","Social,Offline",358,694,"1583"
"add_health_comm38","Social,Offline",521,1925,"1818"
"add_health_comm39","Social,Offline",987,3915,"5341"
"add_health_comm4","Social,Offline",281,1136,"1453"
"add_health_comm40","Social,Offline",1996,8522,"7341"
"add_health_comm41","Social,Offline",2064,8646,"8792"
"add_health_comm42","Social,Offline",1405,4931,"7838"
"add_health_comm43","Social,Offline",1638,5242,"6981"
"add_health_comm44","Social,Offline",1127,5096,"5592"
"add_health_comm45","Social,Offline",921,2745,"4895"
"add_health_comm46","Social,Offline",1519,5749,"4853"
"add_health_comm47","Social,Offline",985,4378,"4304"
"add_health_comm48","Social,Offline",1171,4990,"4612"
"add_health_comm49","Social,Offline",1877,7031,"13325"
"add_health_comm5","Social,Offline",157,730,"330"
"add_health_comm50","Social,Offline",2539,10455,"11817"
"add_health_comm51","Social,Offline",676,1665,"2442"
"add_health_comm52","Social,Offline",1719,5438,"8095"
"add_health_comm53","Social,Offline",579,1510,"3607"
"add_health_comm54","Social,Offline",1035,3037,"5027"
"add_health_comm55","Social,Offline",331,800,"1387"
"add_health_comm56","Social,Offline",444,1393,"2388"
"add_health_comm57","Social,Offline",1180,3480,"6645"
"add_health_comm58","Social,Offline",1703,5605,"7028"
"add_health_comm59","Social,Offline",971,3339,"5124"
"add_health_comm6","Social,Offline",108,378,"236"
"add_health_comm60","Social,Offline",1131,3699,"6791"
"add_health_comm61","Social,Offline",1710,4399,"7392"
"add_health_comm62","Social,Offline",1040,2737,"6211"
"add_health_comm63","Social,Offline",96,282,"361"
"add_health_comm64","Social,Offline",694,2861,"5041"
"add_health_comm65","Social,Offline",557,1869,"2495"
"add_health_comm66","Social,Offline",644,2865,"2961"
"add_health_comm67","Social,Offline",439,913,"3496"
"add_health_comm68","Social,Offline",1385,3871,"7559"
"add_health_comm69","Social,Offline",891,3678,"8544"
"add_health_comm7","Social,Offline",437,1698,"2627"
"add_health_comm70","Social,Offline",76,344,"387"
"add_health_comm71","Social,Offline",74,358,"228"
"add_health_comm72","Social,Offline",352,1398,"1223"
"add_health_comm73","Social,Offline",1630,6813,"7329"
"add_health_comm74","Social,Offline",654,1677,"2368"
"add_health_comm75","Social,Offline",994,4396,"5333"
"add_health_comm76","Social,Offline",43,185,"177"
"add_health_comm77","Social,Offline",25,106,"43"
"add_health_comm78","Social,Offline",430,1333,"1409"
"add_health_comm79","Social,Offline",1190,4154,"8697"
"add_health_comm8","Social,Offline",204,809,"737"
"add_health_comm80","Social,Offline",594,1745,"4906"
"add_health_comm81","Social,Offline",1290,3795,"10085"
"add_health_comm82","Social,Offline",921,4020,"5247"
"add_health_comm83","Social,Offline",1260,3583,"4704"
"add_health_comm84","Social,Offline",1545,4003,"13670"
"add_health_comm9","Social,Offline",248,1004,"942"
"adjnoun","Informational",112,425,"224"
"advogato","Social,Online",5042,39227,"9806"
"aids_blogs_(2005)","Informational",146,180,"259"
"amazon_pages_(2012)","Informational",2879,3886,"10819"
"amazon_political_books_(2004)","Economic",105,441,"297"
"anaheim_traffic_network_(1992)","Transportation",416,634,"3299"
"anybeat","Social,Online",12645,49132,"23323"
"barcelona_traffic_(2016)","Transportation",930,1798,"13252"
"berlin_traffic_(2005)_1","Transportation",224,376,"1970"
"berlin_traffic_(2005)_2","Transportation",397,644,"4776"
"berlin_traffic_(2005)_3","Transportation",974,1611,"16924"
"berlin_traffic_(2005)_4","Transportation",350,553,"2786"
"berlin_traffic_(2005)_5","Transportation",359,595,"2878"
"bible_nouns","Informational",1707,9059,"4419"
