"Name","NetworkDomain","Nodes","Edges","Iterations"
"7th_graders","Social,Offline",29,250,"70"
"add_health_comm1","Social,Offline",69,220,"223"
"add_health_comm10","Social,Offline",678,2795,"3811"
"add_health_comm11","Social,Offline",411,1590,"2663"
"add_health_comm12","Social,Offline",581,2805,"2642"
"add_health_comm13","Social,Offline",652,2350,"3440"
"add_health_comm14","Social,Offline",562,2688,"1566"
"add_health_comm15","Social,Offline",1062,4391,"7536"
"add_health_comm16","Social,Offline",778,3462,"5933"
"add_health_comm17","Social,Offline",1218,5337,"3935"
"add_health_comm18","Social,Offline",284,1189,"758"
"add_health_comm19","Social,Offline",492,2096,"1727"
"add_health_comm2","Social,Offline",103,348,"406"
"add_health_comm20","Social,Offline",910,4075,"4470"
"add_health_comm21","Social,Offline",377,1531,"1072"
"add_health_comm22","Social,Offline",612,2449,"4220"
"add_health_comm23","Social,Offline",667,2897,"2736"
"add_health_comm24","Social,Offline",849,3003,"2865"
"add_health_comm25","Social,Offline",790,2567,"3177"
"add_health_comm26","Social,Offline",551,2066,"3906"
"add_health_comm27","Social,Offline",1152,2530,"5790"
"add_health_comm28","Social,Offline",1136,4715,"8524"
"add_health_comm29","Social,Offline",569,2534,"2515"
"add_health_comm3","Social,Offline",32,91,"100"
"add_health_comm30","Social,Offline",718,2740,"3635"
"add_health_comm31","Social,Offline",728,1635,"6628"
"add_health_comm32","Social,Offline",853,3440,"5075"
"add_health_comm33","Social,Offline",1974,4833,"10975"
"add_health_comm34","Social,Offline",1605,5748,"11501"
"add_health_comm35","Social,Offline",851,3151,"2698"
"add_health_comm36","Social,Offline",2152,7986,"11526"
"add_health_comm37","Social,Offline",358,694,"1676"
"add_health_comm38","Social,Offline",521,1925,"2202"
"add_health_comm39","Social,Offline",987,3915,"5461"
"add_health_comm4","Social,Offline",281,1136,"1203"
"add_health_comm40","Social,Offline",1996,8522,"7486"
"add_health_comm41","Social,Offline",2064,8646,"11832"
"add_health_comm42","Social,Offline",1405,4931,"4316"
"add_health_comm43","Social,Offline",1638,5242,"7159"
"add_health_comm44","Social,Offline",1127,5096,"6310"
"add_health_comm45","Social,Offline",921,2745,"2965"
"add_health_comm46","Social,Offline",1519,5749,"11312"
"add_health_comm47","Social,Offline",985,4378,"13436"
"add_health_comm48","Social,Offline",1171,4990,"5896"
"add_health_comm49","Social,Offline",1877,7031,"7915"
