"Name","NetworkDomain","Nodes","Edges","Iterations"
"7th_graders","Social,Offline",29,250,"75"
"add_health_comm1","Social,Offline",69,220,"215"
"add_health_comm10","Social,Offline",678,2795,"3645"
"add_health_comm11","Social,Offline",411,1590,"1707"
"add_health_comm12","Social,Offline",581,2805,"2368"
"add_health_comm13","Social,Offline",652,2350,"3285"
"add_health_comm14","Social,Offline",562,2688,"2414"
"add_health_comm15","Social,Offline",1062,4391,"4847"
"add_health_comm16","Social,Offline",778,3462,"3868"
"add_health_comm17","Social,Offline",1218,5337,"5484"
"add_health_comm18","Social,Offline",284,1189,"972"
"add_health_comm19","Social,Offline",492,2096,"2668"
"add_health_comm2","Social,Offline",103,348,"660"
"add_health_comm20","Social,Offline",910,4075,"3915"
"add_health_comm21","Social,Offline",377,1531,"1743"
"add_health_comm22","Social,Offline",612,2449,"2742"
"add_health_comm23","Social,Offline",667,2897,"2967"
"add_health_comm24","Social,Offline",849,3003,"4083"
"add_health_comm25","Social,Offline",790,2567,"3622"
"add_health_comm26","Social,Offline",551,2066,"3218"
"add_health_comm27","Social,Offline",1152,2530,"6729"
"add_health_comm28","Social,Offline",1136,4715,"5201"
"add_health_comm29","Social,Offline",569,2534,"2443"
"add_health_comm3","Social,Offline",32,91,"214"
"add_health_comm30","Social,Offline",718,2740,"3034"
"add_health_comm31","Social,Offline",728,1635,"3677"
"add_health_comm32","Social,Offline",853,3440,"4126"
"add_health_comm33","Social,Offline",1974,4833,"10392"
"add_health_comm34","Social,Offline",1605,5748,"6890"
"add_health_comm35","Social,Offline",851,3151,"3762"
"add_health_comm36","Social,Offline",2152,7986,"10119"
"add_health_comm37","Social,Offline",358,694,"2001"
"add_health_comm38","Social,Offline",521,1925,"2408"
"add_health_comm39","Social,Offline",987,3915,"4834"
"add_health_comm4","Social,Offline",281,1136,"1556"
"add_health_comm40","Social,Offline",1996,8522,"9008"
"add_health_comm41","Social,Offline",2064,8646,"9814"
"add_health_comm42","Social,Offline",1405,4931,"6142"
"add_health_comm43","Social,Offline",1638,5242,"7279"
"add_health_comm44","Social,Offline",1127,5096,"4718"
"add_health_comm45","Social,Offline",921,2745,"4443"
"add_health_comm46","Social,Offline",1519,5749,"6787"
"add_health_comm47","Social,Offline",985,4378,"4074"
"add_health_comm48","Social,Offline",1171,4990,"5537"
"add_health_comm49","Social,Offline",1877,7031,"8677"
"add_health_comm5","Social,Offline",157,730,"722"
"add_health_comm50","Social,Offline",2539,10455,"11305"
"add_health_comm51","Social,Offline",676,1665,"3465"
"add_health_comm52","Social,Offline",1719,5438,"8022"
"add_health_comm53","Social,Offline",579,1510,"2984"
"add_health_comm54","Social,Offline",1035,3037,"4735"
"add_health_comm55","Social,Offline",331,800,"1752"
"add_health_comm56","Social,Offline",444,1393,"2397"
"add_health_comm57","Social,Offline",1180,3480,"6102"
"add_health_comm58","Social,Offline",1703,5605,"9436"
"add_health_comm59","Social,Offline",971,3339,"4479"
"add_health_comm6","Social,Offline",108,378,"905"
"add_health_comm60","Social,Offline",1131,3699,"5534"
"add_health_comm61","Social,Offline",1710,4399,"9521"
"add_health_comm62","Social,Offline",1040,2737,"5224"
"add_health_comm63","Social,Offline",96,282,"1648"
"add_health_comm64","Social,Offline",694,2861,"3020"
"add_health_comm65","Social,Offline",557,1869,"2888"
"add_health_comm66","Social,Offline",644,2865,"2881"
"add_health_comm67","Social,Offline",439,913,"2938"
"add_health_comm68","Social,Offline",1385,3871,"6903"
"add_health_comm69","Social,Offline",891,3678,"4120"
"add_health_comm7","Social,Offline",437,1698,"2088"
"add_health_comm70","Social,Offline",76,344,"389"
"add_health_comm71","Social,Offline",74,358,"630"
"add_health_comm72","Social,Offline",352,1398,"1864"
"add_health_comm73","Social,Offline",1630,6813,"7030"
